WP, 29, 2019112512,   , BEST,   0,  91N, 1520E,  20, 1003, DB,   0,    ,    0,    0,    0,    0, 1005,  165,  55,   0,   0,   W,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, TRANSITIONED, wpF42019 to wp292019,
WP, 29, 2019112518,   , BEST,   0, 102N, 1509E,  25, 1002, TD,   0,    ,    0,    0,    0,    0, 1005,  165,  55,   0,   0,   W,   0,    ,   0,   0, TWENTYNINE, S,
WP, 29, 2019112600,   , BEST,   0, 108N, 1492E,  30, 1001, TD,   0,    ,    0,    0,    0,    0, 1006,  220,  50,   0,   0,   W,   0,    ,   0,   0, TWENTYNINE, S,
WP, 29, 2019112606,   , BEST,   0, 113N, 1472E,  35,  996, TS,  34, NEQ,  120,   50,   60,  110, 1003,  250,  50,   0,   0,   W,   0,    ,   0,   0,    KAMMURI, M,
WP, 29, 2019112612,   , BEST,   0, 114N, 1452E,  35,  998, TS,  34, NEQ,  170,   50,   60,  150, 1004,  210,  35,   0,   0,   W,   0,    ,   0,   0,    KAMMURI, M,
WP, 29, 2019112618,   , BEST,   0, 115N, 1436E,  40,  993, TS,  34, NEQ,  180,   50,   60,  170, 1001,  200,  25,  65,   0,   W,   0,    ,   0,   0,    KAMMURI, M,
WP, 29, 2019112700,   , BEST,   0, 114N, 1422E,  45,  993, TS,  34, NEQ,  180,   50,   60,  170, 1003,  190,  25,   0,   0,   W,   0,    ,   0,   0,    KAMMURI, M,
WP, 29, 2019112706,   , BEST,   0, 115N, 1410E,  55,  982, TS,  34, NEQ,  180,   50,   70,  170, 1003,  190,  25,   0,   0,    ,   0,    ,   0,   0,    KAMMURI,  ,
WP, 29, 2019112706,   , BEST,   0, 115N, 1410E,  55,  982, TS,  50, NEQ,   99,   17,   30,   93, 1003,  190,  25,   0,   0,    ,   0,    ,   0,   0,    KAMMURI,  ,
WP, 29, 2019112712,   , BEST,   0, 114N, 1402E,  60,  981, TS,  34, NEQ,  180,   70,   90,  190, 1003,  190,  15,   0,   0,   W,   0,    ,   0,   0,    KAMMURI, M,
WP, 29, 2019112712,   , BEST,   0, 114N, 1402E,  60,  981, TS,  50, NEQ,   99,   30,   43,  106, 1003,  190,  15,   0,   0,   W,   0,    ,   0,   0,    KAMMURI, M,
WP, 29, 2019112718,   , BEST,   0, 114N, 1395E,  65,  978, TY,  34, NEQ,  150,   90,  110,  200, 1003,  170,  25,   0,   0,   W,   0,    ,   0,   0,    KAMMURI, D,
WP, 29, 2019112718,   , BEST,   0, 114N, 1395E,  65,  978, TY,  50, NEQ,   81,   43,   55,  112, 1003,  170,  25,   0,   0,   W,   0,    ,   0,   0,    KAMMURI, D,
WP, 29, 2019112718,   , BEST,   0, 114N, 1395E,  65,  978, TY,  64, NEQ,   43,   22,   29,   60, 1003,  170,  25,   0,   0,   W,   0,    ,   0,   0,    KAMMURI, D,
WP, 29, 2019112800,   , BEST,   0, 120N, 1390E,  70,  975, TY,  34, NEQ,  110,  120,  140,  210, 1004,  180,  25,   0,   0,   W,   0,    ,   0,   0,    KAMMURI, D,
WP, 29, 2019112800,   , BEST,   0, 120N, 1390E,  70,  975, TY,  50, NEQ,   56,   62,   75,  119, 1004,  180,  25,   0,   0,   W,   0,    ,   0,   0,    KAMMURI, D,
WP, 29, 2019112800,   , BEST,   0, 120N, 1390E,  70,  975, TY,  64, NEQ,   29,   32,   39,   64, 1004,  180,  25,   0,   0,   W,   0,    ,   0,   0,    KAMMURI, D,
WP, 29, 2019112806,   , BEST,   0, 127N, 1388E,  70,  979, TY,  34, NEQ,  110,  120,  150,  220, 1004,  200,  25,   0,   0,   W,   0,    ,   0,   0,    KAMMURI, D,
WP, 29, 2019112806,   , BEST,   0, 127N, 1388E,  70,  979, TY,  50, NEQ,   56,   62,   81,  125, 1004,  200,  25,   0,   0,   W,   0,    ,   0,   0,    KAMMURI, D,
WP, 29, 2019112806,   , BEST,   0, 127N, 1388E,  70,  979, TY,  64, NEQ,   29,   32,   43,   67, 1004,  200,  25,   0,   0,   W,   0,    ,   0,   0,    KAMMURI, D,
WP, 29, 2019112812,   , BEST,   0, 135N, 1386E,  70,  979, TY,  34, NEQ,  130,  120,  140,  240, 1004,  200,  15,   0,   0,   W,   0,    ,   0,   0,    KAMMURI, D,
WP, 29, 2019112812,   , BEST,   0, 135N, 1386E,  70,  979, TY,  50, NEQ,   68,   62,   75,  138, 1004,  200,  15,   0,   0,   W,   0,    ,   0,   0,    KAMMURI, D,
WP, 29, 2019112812,   , BEST,   0, 135N, 1386E,  70,  979, TY,  64, NEQ,   36,   32,   39,   74, 1004,  200,  15,   0,   0,   W,   0,    ,   0,   0,    KAMMURI, D,
WP, 29, 2019112818,   , BEST,   0, 142N, 1387E,  70,  976, TY,  34, NEQ,  130,  120,  120,  240, 1002,  220,  25,   0,   0,   W,   0,    ,   0,   0,    KAMMURI, D,
WP, 29, 2019112818,   , BEST,   0, 142N, 1387E,  70,  976, TY,  50, NEQ,   68,   62,   62,  138, 1002,  220,  25,   0,   0,   W,   0,    ,   0,   0,    KAMMURI, D,
WP, 29, 2019112818,   , BEST,   0, 142N, 1387E,  70,  976, TY,  64, NEQ,   36,   32,   32,   74, 1002,  220,  25,   0,   0,   W,   0,    ,   0,   0,    KAMMURI, D,
WP, 29, 2019112900,   , BEST,   0, 144N, 1382E,  65,  981, TY,  34, NEQ,  130,  120,  110,  250, 1004,  200,  25,   0,   0,   W,   0,    ,   0,   0,    KAMMURI, D,
